total_packet_rate,total_byte_rate,avg_packet_size,udp_rate,udp_to_total_ratio,unique_source_ips,label
126.0,8190.0,65.0,63.0,0.5,2,1
134.5,9159.0,68.09665427509293,67.5,0.5018587360594795,4,1
136.0,9499.0,69.84558823529412,67.0,0.49264705882352944,8,1
134.0,8845.0,66.00746268656717,66.5,0.4962686567164179,6,1
136.0,8970.0,65.95588235294117,67.0,0.49264705882352944,5,1
129.5,8463.0,65.35135135135135,64.5,0.4980694980694981,5,1
135.5,9399.0,69.36531365313652,70.0,0.5166051660516605,4,1
136.0,9444.0,69.44117647058823,70.0,0.5147058823529411,4,1
132.0,8679.0,65.75,66.5,0.5037878787878788,4,1
132.0,8638.0,65.43939393939394,65.0,0.49242424242424243,5,1
132.0,8607.0,65.20454545454545,63.0,0.4772727272727273,7,1
127.5,8280.0,64.94117647058823,63.0,0.49411764705882355,3,1
135.5,9041.0,66.72324723247233,68.0,0.5018450184501845,4,1
133.0,8744.0,65.74436090225564,67.0,0.5037593984962406,4,1
129.0,8458.0,65.56589147286822,65.0,0.5038759689922481,4,1
132.0,8725.0,66.09848484848484,66.5,0.5037878787878788,4,1
134.0,8855.0,66.08208955223881,67.5,0.503731343283582,4,1
134.5,8830.0,65.65055762081785,65.5,0.48698884758364314,9,1
137.5,9055.0,65.85454545454546,68.0,0.49454545454545457,5,1
136.0,8970.0,65.95588235294117,67.0,0.49264705882352944,5,1
130.0,8606.5,66.20384615384616,64.0,0.49230769230769234,5,1
127.0,8255.0,65.0,63.5,0.5,2,1
128.0,8372.0,65.40625,64.0,0.5,4,1
134.5,8927.0,66.37174721189591,68.0,0.5055762081784386,4,1
134.0,8855.0,66.08208955223881,67.5,0.503731343283582,4,1
139.0,9156.0,65.87050359712231,66.0,0.4748201438848921,9,1
133.5,8738.0,65.45318352059925,66.5,0.49812734082397003,6,1
75.0,5036.0,67.14666666666666,38.0,0.5066666666666667,4,1
52.0,3654.5,70.27884615384616,25.5,0.49038461538461536,6,1
129.5,8486.5,65.53281853281854,64.0,0.4942084942084942,5,1
134.0,8825.0,65.85820895522389,66.5,0.4962686567164179,5,1
127.5,8280.0,64.94117647058823,63.0,0.49411764705882355,3,1
131.5,8577.0,65.22433460076046,62.5,0.4752851711026616,7,1
135.5,9007.0,66.47232472324723,67.5,0.4981549815498155,5,1
128.5,8416.5,65.49805447470817,65.0,0.5058365758754864,5,1
131.5,8680.0,66.00760456273764,66.5,0.5057034220532319,4,1
137.5,9214.0,67.0109090909091,69.5,0.5054545454545455,4,1
132.0,8732.0,66.15151515151516,67.0,0.5075757575757576,4,1
134.0,8918.0,66.55223880597015,68.0,0.5074626865671642,4,1
133.0,8802.5,66.1842105263158,66.5,0.5,7,1
133.5,8849.5,66.28838951310861,66.5,0.49812734082397003,5,1
